rank_by_apps,name,appearances,goals,position,nationality,born,player_id
146,Joel Ward,309,5,Defender,England,29 October 1989,773472
147,Wes Brown,308,4,Centre Central Defender,England,13 October 1979,39650
148,Patrick Vieira,307,31,Centre Defensive Midfielder,France,23 June 1976,5746
149,Paul Ince,306,42,Midfielder,England,21 October 1967,3400
150,Steven Davis,306,17,Centre Central Midfielder,Northern Ireland,1 January 1985,126112
151,Wilfried Zaha,305,68,Left Winger,Cote D’Ivoire,10 November 1992,364371
152,Jordan Ayew,305,42,Striker,Ghana,11 September 1991,363234
153,Ross Barkley,305,40,Centre Central Midfielder,England,5 December 1993,364659
154,Adam Lallana,305,33,Left/Centre Attacking Midfielder,England,10 May 1988,177697
155,Lee Dixon,305,9,Defender,England,17 March 1964,13
156,Alan Wright,305,5,Defender,England,28 September 1971,27467
157,Bernardo Silva,304,45,Attacking Midfielder,Portugal,10 August 1994,785568
158,Jack Cork,304,9,Centre Central Midfielder,England,25 June 1989,49709
159,Simon Davies,303,27,Right Winger,Wales,23 October 1979,4196
160,Craig Dawson,303,21,Centre Central Defender,England,6 May 1990,336892
161,Phil Bardsley,303,7,Right Full Back,Scotland,28 June 1985,335366
162,Nolberto Solano,302,49,Midfielder,Peru,12 December 1974,27645
163,Pablo Zabaleta,302,9,Right Full Back,Argentina,16 January 1985,44033
164,Garry Flitcroft,301,24,Midfielder,England,6 November 1972,1126
165,Gavin McCann,301,12,Centre Central Midfielder,England,10 January 1978,4538
166,Lewis Dunk,299,17,Defender,England,21 November 1991,13742
167,Shola Ameobi,298,43,Striker,Nigeria,12 October 1981,43711
168,Marcus Rashford,297,89,Left Winger,England,31 October 1997,738981
169,Mark Hughes,297,64,Forward,Wales,1 November 1963,2598
170,Wayne Routledge,297,16,Right Winger,England,7 January 1985,6161
171,Pepe Reina,297,0,Goalkeeper,Spain,31 August 1982,127990
172,Luke Shaw,296,4,Left Full Back,England,12 July 1995,14011
173,Jamie Redknapp,295,33,Midfielder,England,25 June 1973,3710
174,Luís Boa Morte,295,29,Midfielder,Portugal,4 August 1977,111470
175,Moussa Sissoko,295,16,Centre/Right Central Midfielder,France,16 August 1989,288560
176,Graham Stuart,294,45,Midfielder,England,24 October 1970,3673
177,Craig Bellamy,293,81,Left/Centre/Right Striker,Wales,13 July 1979,6618
178,Titus Bramble,292,10,Centre Central Defender,England,31 July 1981,5799
179,Andros Townsend,291,26,Midfielder,England,16 July 1991,349917
180,Cheikhou Kouyaté,291,15,Centre Defensive Midfielder,Senegal,21 December 1989,323012
181,Harry Maguire,291,15,Centre Central Defender,England,5 March 1993,161345
182,Jeff Kenna,290,8,Defender,Ireland,27 August 1970,352963
183,Claus Lundekvam,290,1,Defender,Norway,22 February 1973,1458
184,Louis Saha,289,85,Centre Striker,France,8 August 1978,6569
185,James Tomkins,289,14,Defender,England,29 March 1989,51519
186,Andy Impey,289,12,Midfielder,England,30 September 1971,353126
187,Jimmy Floyd Hasselbaink,288,127,Forward,Netherlands,27 March 1972,4165
188,Kevin De Bruyne,288,72,Attacking Midfielder,Belgium,28 June 1991,738058
189,Carlton Cole,288,52,Centre Striker,England,12 October 1983,143401
190,Matthew Etherington,288,21,Left Winger,England,14 August 1981,5100
191,Steve Staunton,288,13,Defender,Ireland,19 January 1969,352897
192,Matt Upson,288,9,Centre Central Defender,England,18 April 1979,19664
193,Frank Sinclair,288,8,Defender,Jamaica,3 December 1971,29322
194,Joleon Lescott,287,23,Left/Right Central Defender,England,16 August 1982,266152
195,Brian Deane,286,71,Forward,England,7 February 1968,353362
196,Michael Keane,286,19,Centre Central Defender,England,11 January 1993,48260
197,Ashley Westwood,286,12,Centre Central Midfielder,England,1 April 1990,336080
198,Michael Dawson,286,11,Centre Central Defender,England,18 November 1983,130632
199,Tim Flowers,286,0,Goalkeeper,England,3 February 1967,3123
200,Alan Smith,285,45,Central Midfielder,England,28 October 1980,14937
201,Riyad Mahrez,284,82,Left/Right Winger,Algeria,21 February 1991,131779
202,Mikel Arteta,284,41,Left/Centre/Right Central Midfielder,Spain,26 March 1982,5905
203,Zat Knight,284,7,Centre Central Defender,England,2 May 1980,16835
204,Mario Melchiot,284,6,Centre/Right Full Back,Netherlands,4 November 1976,4810
205,Kasper Schmeichel,284,0,Goalkeeper,Denmark,5 November 1986,361188
206,Sebastian Larsson,282,26,Centre Central Midfielder,Sweden,6 June 1985,153110
207,Lee Carsley,282,16,Centre Defensive Midfielder,Ireland,28 February 1974,5265
208,Charles N'Zogbia,281,28,Left Winger,France,28 May 1986,5916
209,Robin van Persie,280,144,Centre Striker,Netherlands,6 August 1983,93894
210,Christian Benteke,280,86,Forward,Belgium,3 December 1990,322315
211,Paul Merson,280,46,Centre Central Midfielder,England,20 March 1968,128586
