rank_by_apps,name,appearances,goals,position,nationality,born,player_id
2659,Marcin Wasilewski,30,1,Defender,Poland,9 June 1980,35144
2660,Noureddine Naybet,30,1,Defender,Morocco,2 October 1970,3723
2661,Nuno Tavares,30,1,Left Full Back,Portugal,26 January 2000,737791
2662,Randal Kolo Muani,30,1,Centre Striker,France,5 December 1998,790518
2663,Rohan Ricketts,30,1,Midfielder,England,22 December 1982,176583
2664,Teden Mengi,30,1,Centre Central Defender,England,30 April 2002,346774
2665,Yukinari Sugawara,30,1,Right Full Back,Japan,28 June 2000,360845
2666,Alex Telles,30,0,Left Full Back,Brazil,15 December 1992,342773
2667,Borja Valero,30,0,Centre Central Midfielder,Spain,12 January 1985,8497
2668,Brian Priske,30,0,Defender,Denmark,14 May 1977,3943
2669,Clarke Carlisle,30,0,Defender,England,14 October 1979,177133
2670,David Fox,30,0,Centre Central Midfielder,England,13 December 1983,31152
2671,David Watson,30,0,Goalkeeper,England,10 November 1973,1549
2672,Jay Spearing,30,0,Defensive Midfielder,England,25 November 1988,321897
2673,Liam Bridcutt,30,0,Centre Defensive Midfielder,Scotland,8 May 1989,328054
2674,Loris Karius,30,0,Goalkeeper,Germany,22 June 1993,327268
2675,Simon Tracey,30,0,Goalkeeper,England,9 December 1967,1312
2676,Tony McMahon,30,0,Right Full Back,England,24 March 1986,261186
2677,Víctor Valdés,30,0,Goalkeeper,Spain,14 January 1982,30648
2678,Wes Foderingham,30,0,Goalkeeper,England,14 January 1991,359331
2679,Zian Flemming,29,11,Centre Attacking Midfielder,Netherlands,1 August 1998,737012
2680,David Lowe,29,8,Forward,England,30 August 1965,986
2681,Pierre van Hooijdonk,29,7,Forward,Netherlands,29 November 1969,334803
2682,Roman Bednár,29,6,Forward,Czech Republic,26 March 1983,18441
2683,Tony Cascarino,29,6,Forward,Ireland,1 September 1962,111
2684,Anton Stach,29,5,Centre Defensive Midfielder,Germany,15 November 1998,738868
2685,Jimmy Kébé,29,5,Right Winger,Mali,19 January 1984,11222
2686,David Di Michele,29,4,Forward,Italy,6 January 1976,5190
2687,Paul Goddard,29,3,Forward,England,12 October 1959,211
2688,Dan Ballard,29,2,Centre Central Defender,Northern Ireland,22 September 1999,314374
2689,Derek McInnes,29,2,Midfielder,Scotland,5 July 1971,3077
2690,Jimmy Willis,29,2,Defender,England,12 July 1968,968
2691,Loum Tchaouna,29,2,Forward,France,8 September 2003,785922
2692,Tiémoué Bakayoko,29,2,Defensive Midfielder,France,17 August 1994,366094
2693,Adam Idah,29,1,Forward,Ireland,11 February 2001,741692
2694,Bobby Bowry,29,1,Midfielder,England,19 May 1971,149
2695,Fernando Hierro,29,1,Defender,Spain,23 March 1968,3498
2696,Gerald Dobbs,29,1,Defender,England,24 January 1971,563
2697,Mark Ford,29,1,Midfielder,England,10 October 1975,705
2698,Matt Piper,29,1,Midfielder,England,29 September 1981,3041
2699,Paul Williams,29,1,Defender,England,16 August 1965,929
2700,Bobby Convey,29,0,Midfielder,United States,27 May 1983,4299
2701,Bryan Small,29,0,Defender,England,15 November 1971,1146
2702,Chris Kamara,29,0,Midfielder,England,25 December 1957,465
2703,Claudio Bravo,29,0,Goalkeeper,Chile,13 April 1983,202618
2704,David Ospina,29,0,Goalkeeper,Colombia,31 August 1988,336687
2705,Gerhard Tremmel,29,0,Goalkeeper,Germany,16 November 1978,32017
2706,Guido Rodríguez,29,0,Defensive Midfielder,Argentina,12 April 1994,786051
2707,Ikechi Anya,29,0,Midfielder,Scotland,3 January 1988,43023
2708,Jack Stacey,29,0,Right Wing Back,England,6 April 1996,340757
2709,Larus Sigurdsson,29,0,Defender,Iceland,4 June 1973,3064
2710,Lionel Perez,29,0,Goalkeeper,France,24 April 1967,1944
2711,Neeskens Kebano,29,0,Left/Centre/Right Attacking Midfielder,DR Congo,10 March 1992,268675
2712,Neil McCann,29,0,Midfielder,Scotland,11 August 1974,3366
2713,Sergio Rico,29,0,Goalkeeper,Spain,1 September 1993,301337
2714,Stéphane Mbia,29,0,Centre Defensive Midfielder,Cameroon,20 May 1986,303705
2715,Tom Soares,29,0,Centre Central Midfielder,England,10 July 1986,161279
2716,Yuri Zhirkov,29,0,Left Winger,Russia,20 August 1983,25849
2717,Hugo Ekitiké,28,11,Centre Striker,France,20 June 2002,738961
2718,Ferran Torres,28,9,Left/Centre/Right Attacking Midfielder,Spain,29 February 2000,300303
2719,Noah Okafor,28,8,Winger,Switzerland,24 May 2000,740589
2720,Gerald Sibon,28,5,Centre Striker,Netherlands,19 April 1974,99711
2721,João Félix,28,5,Second Striker,Portugal,10 November 1999,739456
2722,Tijjani Reijnders,28,5,Centre Central Midfielder,Netherlands,29 July 1998,737020
2723,Andreas Johansson,28,4,Midfielder,Sweden,5 July 1978,123852
2724,Chemsdine Talbi,28,4,Left/Right Winger,Morocco,9 May 2005,738292
2725,Craig Russell,28,4,Forward,England,4 February 1974,1486
2726,Ilie Dumitrescu,28,4,Midfielder,Romania,6 January 1969,1289
2727,Sol Bamba,28,4,Defender,Cote D’Ivoire,13 January 1985,291496
2728,Christopher Wreh,28,3,Forward,Liberia,14 May 1975,1542
2729,George Hirst,28,3,Centre Striker,Scotland,15 February 1999,342003
2730,Mateus Mané,28,3,Centre Striker,Portugal,16 September 2007,736157
2731,Ao Tanaka,28,2,Midfielder,Japan,10 September 1998,364352
2732,Carles Gil,28,2,Left/Centre/Right Attacking Midfielder,Spain,22 November 1992,154591
2733,Igor Balis,28,2,Defender,Slovakia,5 January 1970,3063
2734,Ladislav Krejcí,28,2,Central Defender,Czech Republic,20 April 1999,785348
2735,Owen Hargreaves,28,2,Centre Central Midfielder,England,20 January 1981,6005
2736,Simon Coleman,28,2,Defender,England,13 March 1968,1145
2737,Stuart Holden,28,2,Centre Central Midfielder,United States,1 August 1985,5294
2738,Trincão,28,2,Right Winger,Portugal,29 December 1999,344339
2739,Xavi Simons,28,2,Attacking Midfielder,Netherlands,21 April 2003,740911
2740,Andrew Couzens,28,1,Defender,England,4 June 1975,703
2741,Andrey Santos,28,1,Midfielder,Brazil,3 May 2004,785944
2742,André Carrillo,28,1,Left/Right Attacking Midfielder,Peru,14 June 1991,336617
2743,George Ndah,28,1,Forward,Nigeria,23 December 1974,3419
2744,Kenny Sansom,28,1,Defender,England,26 September 1958,171
2745,Kim Bo-Kyung,28,1,Left/Centre/Right Attacking Midfielder,South Korea,6 October 1989,109610
2746,Lee Croft,28,1,Right Winger,England,21 June 1985,19810
2747,Thierry Bonalair,28,1,Midfielder,France,14 June 1966,1970
2748,Alec Chamberlain,28,0,Goalkeeper,England,20 June 1964,2226
2749,Andy Dibble,28,0,Goalkeeper,Wales,8 May 1965,269
2750,Arijanet Muric,28,0,Goalkeeper,Kosovo,7 November 1998,361625
2751,Armel Bella-Kotchap,28,0,Centre Central Defender,Germany,11 December 2001,346885
2752,Collin Quaner,28,0,Centre Striker,Germany,18 June 1991,159847
2753,Cyrus Christie,28,0,Defender,Ireland,30 September 1992,741744
2754,Daniel de Ridder,28,0,Left/Right Winger,Netherlands,6 March 1984,124704
2755,Eldin Jakupovic,28,0,Goalkeeper,Switzerland,2 October 1984,337071
2756,Erik Durm,28,0,Left/Right Full Back,Germany,12 May 1992,163303
2757,Ezequiel Schelotto,28,0,Defender,Argentina,23 May 1989,90688
2758,Fraser Digby,28,0,Goalkeeper,England,23 April 1967,629
2759,Gonzalo Sorondo,28,0,Defender,Uruguay,9 October 1979,108563
2760,Gregory Halford,28,0,Defender,England,8 December 1984,266500
2761,Joe Ralls,28,0,Midfielder,England,12 October 1993,762202
2762,Jos Hooiveld,28,0,Centre Central Defender,Netherlands,22 April 1983,14828
2763,Ki-Jana Hoever,28,0,Defender,Netherlands,18 January 2002,773470
2764,Kévin Théophile-Catherine,28,0,Central Defender,France,28 October 1989,136541
2765,Lukas Jutkiewicz,28,0,Centre Striker,England,28 March 1989,42208
2766,Lutsharel Geertruida,28,0,Defender,Netherlands,18 July 2000,774603
2767,Markus Rosenberg,28,0,Centre Striker,Sweden,27 September 1982,15928
2768,Mattias Jonson,28,0,Midfielder,Sweden,16 January 1974,3675
2769,Maxime Le Marchand,28,0,Centre Central Defender,France,11 October 1989,313341
2770,Naouirou Ahamada,28,0,Midfielder,France,29 March 2002,351454
2771,Ollie Scarles,28,0,Left Full Back,England,12 December 2005,287476
2772,Remo Freuler,28,0,Centre Attacking Midfielder,Switzerland,15 April 1992,362977
2773,Renan Lodi,28,0,Defender,Brazil,8 April 1998,355739
2774,Simon Royce,28,0,Goalkeeper,England,9 September 1971,95808
2775,Stefan Ortega,28,0,Goalkeeper,Germany,6 November 1992,776237
2776,Tyrell Malacia,28,0,Left Full Back,Netherlands,17 August 1999,735571
2777,Elijah Adebayo,27,10,Centre Striker,England,7 January 1998,268672
2778,Adrian Mutu,27,6,Left/Centre/Right Second Striker,Romania,8 January 1979,173848
2779,Andrey Voronin,27,5,Forward,Ukraine,21 July 1979,173927
2780,Fabian De Freitas,27,5,Forward,Netherlands,28 July 1972,1159
2781,Felipe Caicedo,27,5,Striker,Ecuador,5 September 1988,303212
2782,Andreas Andersson,27,4,Forward,Sweden,10 April 1974,784614
2783,Callum Paterson,27,4,Forward,Scotland,13 October 1994,739445
2784,Gordon Durie,27,4,Forward,Scotland,6 December 1965,785073
2785,Keith Scott,27,4,Forward,England,6 September 1967,41946
2786,Marshall Munetsi,27,3,Central Midfielder,Zimbabwe,22 June 1996,734875
2787,Matt O'Riley,27,3,Midfielder,Denmark,21 November 2000,741884
2788,Vicente Iborra,27,3,Centre Defensive Midfielder,Spain,16 January 1988,101054
2789,Ángel Di María,27,3,Left/Right Winger,Argentina,14 February 1988,98686
2790,Andreas Jakobsson,27,2,Defender,Sweden,6 October 1972,3704
2791,Richard Naylor,27,2,Defender,England,28 February 1977,27923
2792,Brett Holman,27,1,Left/Right Second Striker,Australia,27 March 1984,6276
2793,Chris Allen,27,1,Midfielder,England,18 November 1972,1251
2794,Colin Kazim-Richards,27,1,Centre Striker,Turkiye,26 August 1986,333229
2795,Dedryck Boyata,27,1,Defender,Belgium,28 November 1990,324344
2796,Dwight Tiendalli,27,1,Left/Right Full Back,Netherlands,21 October 1985,50090
2797,Marco Materazzi,27,1,Centre Central Defender,Italy,19 August 1973,105011
2798,Robert Warzycha,27,1,Midfielder,Poland,20 August 1963,183
2799,Ulrich van Gobbel,27,1,Defender,Netherlands,16 January 1971,784819
2800,Vlad Chiriches,27,1,Defender,Romania,14 November 1989,363614
2801,Abdukodir Khusanov,27,0,Central Defender,Uzbekistan,29 February 2004,732260
2802,Andy Oakes,27,0,Goalkeeper,England,11 January 1977,3753
2803,Chris Armstrong,27,0,Defender,Scotland,5 August 1982,30092
2804,Colin Woodthorpe,27,0,Defender,England,13 January 1969,360
2805,Didier Deschamps,27,0,Midfielder,France,15 October 1968,2090
2806,Eric Roy,27,0,Midfielder,France,26 September 1967,2205
2807,Gary Holt,27,0,Midfielder,Scotland,9 March 1973,96368
2808,Grzegorz Krychowiak,27,0,Midfielder,Poland,29 January 1990,306840
2809,Guly do Prado,27,0,Left/Centre/Right Attacking Midfielder,Brazil,31 December 1981,6450
2810,Hjalmar Ekdal,27,0,Centre Central Defender,Sweden,21 October 1998,336873
2811,Jamie Shackleton,27,0,Defender,England,8 October 1999,366525
2812,Japhet Tanganga,27,0,Defender,England,31 March 1999,740899
2813,José Manuel Jurado,27,0,Left/Centre/Right Attacking Midfielder,Spain,29 June 1986,168186
2814,Pelly Mpanzu,27,0,Midfielder,DR Congo,22 March 1994,739217
2815,Reece Burke,27,0,Defender,England,2 September 1996,738297
2816,Devon White,26,9,Midfielder,England,2 March 1964,440
2817,Shabani Nonda,26,7,Centre Striker,DR Congo,6 March 1977,100337
2818,Dame N'Doye,26,6,Centre Striker,Senegal,21 February 1985,98944
2819,Facundo Sava,26,6,Forward,Argentina,7 March 1974,2909
2820,Jari Litmanen,26,5,Midfielder,Finland,20 February 1971,4622
2821,Mladen Petric,26,5,Forward,Croatia,1 January 1981,17976
2822,Florin Andone,26,4,Centre Striker,Romania,11 April 1993,350015
2823,Lucas Pérez,26,4,Centre Striker,Spain,10 September 1988,736153
2824,Martin Dahlin,26,4,Forward,Sweden,16 April 1968,1585
2825,Martin Pringle,26,4,Forward,Sweden,18 November 1970,1859
2826,Stewart Castledine,26,4,Midfielder,England,22 January 1973,847
2827,Niclas Füllkrug,26,3,Centre Striker,Germany,9 February 1993,362409
2828,Rasmus Kristensen,26,3,Right Full Back,Denmark,11 July 1997,738035
2829,Viv Anderson,26,3,Defender,England,29 July 1956,480
2830,Danny Wilson,26,2,Midfielder,Northern Ireland,1 January 1960,652
2831,Giannelli Imbula,26,2,Centre Defensive Midfielder,DR Congo,12 September 1992,353917
2832,Josh Sargent,26,2,Centre Striker,United States,20 February 2000,286394
2833,Robin van der Laan,26,2,Midfielder,Netherlands,5 September 1968,42167
2834,Ron Willems,26,2,Forward,Netherlands,20 September 1966,1378
2835,Steve Agnew,26,2,Midfielder,England,9 November 1965,1478
2836,Andy Liddell,26,1,Forward,Scotland,28 June 1973,97003
2837,Daniel Ayala,26,1,Centre Central Defender,Spain,7 November 1990,351826
2838,Darren Pratley,26,1,Centre Central Midfielder,England,22 April 1985,280982
2839,Davide Zappacosta,26,1,Right Wing Back,Italy,11 June 1992,288543
2840,Emmanuel Rivière,26,1,Centre Striker,Martinique,3 March 1990,284025
2841,Juraj Kucka,26,1,Midfielder,Slovakia,26 February 1987,324926
2842,Kevin,26,1,Left/Right Winger,Brazil,4 January 2003,741696
2843,Onel Hernández,26,1,Left/Centre/Right Winger,Cuba,1 February 1993,751213
2844,Sam Surridge,26,1,Centre Striker,England,28 July 1998,302967
2845,Scott Marshall,26,1,Defender,Scotland,1 May 1973,2043
2846,Steve Talboys,26,1,Midfielder,England,18 September 1966,572
2847,Antonio Barragán,26,0,Right Full Back,Spain,12 June 1987,258699
2848,Darren Sheridan,26,0,Midfielder,England,8 December 1967,176517
2849,David Robertson,26,0,Midfielder,Scotland,17 October 1968,1673
2850,Derek Geary,26,0,Defender,Ireland,19 June 1980,4327
2851,Josh Onomah,26,0,Centre Central Midfielder,England,27 April 1997,377833
2852,Leon Cort,26,0,Centre Central Defender,Guyana,11 September 1979,10451
2853,Luciano Zavagno,26,0,Defender,Argentina,6 August 1977,2645
2854,Martin Hiden,26,0,Defender,Austria,11 March 1973,1668
2855,Mauricio Isla,26,0,Right Full Back,Chile,12 June 1988,93455
2856,Nick Montgomery,26,0,Centre Defensive Midfielder,Scotland,28 October 1981,119765
2857,Nile Ranger,26,0,Forward,England,11 April 1991,728774
2858,Steve Pears,26,0,Goalkeeper,England,22 January 1962,1198
2859,Ádám Bogdán,26,0,Goalkeeper,Hungary,27 September 1987,186480
2860,Clive Mendonca,25,8,Forward,England,9 September 1968,1863
2861,Finidi George,25,6,Midfielder,Nigeria,15 April 1971,127520
2862,Jeroen Boere,25,6,Forward,Netherlands,18 November 1967,42031
2863,Patrick Kluivert,25,6,Forward,Netherlands,1 July 1976,143180
2864,Cucho Hernández,25,5,Centre Striker,Colombia,20 April 1999,735538
2865,Emile Mpenza,25,5,Forward,Belgium,4 July 1978,4232
2866,Nikola Zigic,25,5,Centre Striker,Serbia,25 September 1980,58730
2867,Wesley,25,5,Striker,Brazil,24 November 1996,357649
2868,Mateja Kezman,25,4,Centre Striker,Serbia,12 April 1979,126653
2869,Bernardo Corradi,25,3,Forward,Italy,30 March 1976,4234
2870,Christian Nade,25,3,Forward,France,18 September 1984,120785
2871,Mark Brennan,25,3,Midfielder,England,4 October 1965,410
2872,Victor Obinna,25,3,Centre Striker,Nigeria,25 March 1987,5854
2873,Eric Tinkler,25,2,Midfielder,South Africa,30 July 1970,1775
2874,Jonathan Hunt,25,2,Midfielder,England,2 November 1971,28916
2875,Luke Chadwick,25,2,Left/Centre/Right Attacking Midfielder,England,18 November 1980,14391
2876,Mark González,25,2,Left Winger,Chile,10 July 1984,7937
2877,Nicolò Zaniolo,25,2,Centre Attacking Midfielder,Italy,2 July 1999,791902
2878,Andrea Dossena,25,1,Defender,Italy,11 September 1981,14764
2879,Asier Del Horno,25,1,Left Full Back,Spain,19 January 1981,101047
2880,Caçapa,25,1,Defender,Brazil,29 May 1976,4702
2881,Jacob Greaves,25,1,Central Defender,England,12 September 2000,360794
2882,Jaka Bijol,25,1,Central Defender,Slovenia,5 February 1999,737230
2883,Jamie Fullarton,25,1,Midfielder,Scotland,20 July 1974,1628
2884,Martin Andresen,25,1,Midfielder,Norway,2 February 1977,3165
2885,Max Gradel,25,1,Winger,Cote D’Ivoire,30 November 1987,361396
2886,Michael Meaker,25,1,Midfielder,Wales,18 August 1971,41404
2887,Piero Hincapié,25,1,Centre Central Defender,Ecuador,9 January 2002,785796
2888,Ricky van Wolfswinkel,25,1,Forward,Netherlands,27 January 1989,363609
2889,Sam Greenwood,25,1,Midfielder,England,26 January 2002,785404
2890,Steven Mouyokolo,25,1,Defender,France,24 January 1987,7042
2891,Yoshinori Muto,25,1,Left/Centre/Right Second Striker,Japan,15 July 1992,340170
2892,Youl Mawene,25,1,Defender,France,16 July 1979,96882
2893,Alan Miller,25,0,Goalkeeper,England,29 March 1970,2535
2894,Chris Gunter,25,0,Right Full Back,Wales,21 July 1989,315655
2895,Craig Moore,25,0,Defender,Australia,12 December 1975,3933
2896,Danny Williams,25,0,Centre Defensive Midfielder,United States,8 March 1989,48514
2897,Darren Pitcher,25,0,Midfielder,England,12 October 1969,938
2898,Djibril Sidibé,25,0,Right Full Back,France,29 July 1992,362212
2899,Eddie Lewis,25,0,Midfielder,United States,17 May 1974,4587
2900,Enrique De Lucas,25,0,Left/Centre/Right Second Striker,Spain,17 August 1978,103193
2901,Frédéric Guilbert,25,0,Right Full Back,France,24 December 1994,386535
2902,George Friend,25,0,Left Full Back,England,17 October 1987,341405
2903,Jesper Lindstrøm,25,0,Central Midfielder,Denmark,29 February 2000,738986
2904,Jonathan Gould,25,0,Goalkeeper,Scotland,18 July 1968,353176
2905,Jordan Veretout,25,0,Centre Central Midfielder,France,1 March 1993,364907
2906,Mark Tinkler,25,0,Midfielder,England,24 October 1974,232
2907,Matteo Sereni,25,0,Goalkeeper,Italy,11 February 1975,278664
2908,Reinildo Mandava,25,0,Left Full Back,Mozambique,21 January 1994,738290
2909,Richard Kingson,25,0,Goalkeeper,Ghana,13 June 1978,5634
2910,Roger Nilsen,25,0,Defender,Norway,8 August 1969,2001
2911,Roger Palmer,25,0,Forward,England,30 January 1959,416
2912,Scott McKenna,25,0,Centre Central Defender,Scotland,12 November 1996,738845
2913,Scott Taylor,25,0,Midfielder,England,23 November 1970,1404
2914,Steven Haslam,25,0,Defender,England,6 September 1979,27640
2915,Tom Cowan,25,0,Defender,Scotland,28 June 1969,41864
2916,Édouard Cissé,25,0,Centre Defensive Midfielder,France,30 March 1978,99475
2917,Ben Brereton,24,6,Forward,Chile,18 April 1999,741674
2918,Attilio Lombardo,24,5,Midfielder,Italy,6 January 1966,784934
2919,Brown Ideye,24,4,Centre Striker,Nigeria,10 October 1988,170670
2920,Manor Solomon,24,4,Left Winger,Israel,24 July 1999,792325
2921,Aboubakar Kamara,24,3,Forward,Mauritania,7 March 1995,314687
2922,Julio Baptista,24,3,Centre Striker,Brazil,1 October 1981,53180
2923,Alan Mahon,24,2,Midfielder,Ireland,4 April 1978,29175
2924,Enock Mwepu,24,2,Left/Centre/Right Attacking Midfielder,Zambia,1 January 1998,278143
2925,Jaden Philogene,24,2,Left Winger,England,8 February 2002,731772
2926,Ji Dong-Won,24,2,Centre Striker,South Korea,28 May 1991,172483
2927,Noel Hunt,24,2,Centre Striker,Ireland,26 December 1982,11225
2928,Christian Bassedas,24,1,Midfielder,Argentina,16 February 1973,2484
2929,Dan Ndoye,24,1,Left/Right Winger,Switzerland,25 October 2000,739536
2930,Esteban Granero,24,1,Centre Central Midfielder,Spain,2 July 1987,180054
2931,Javier Margas,24,1,Defender,Chile,10 May 1969,2009
2932,Lewis Grabban,24,1,Centre Striker,England,12 January 1988,130768
2933,Magaye Gueye,24,1,Forward,Senegal,6 July 1990,276870
2934,Patrick Colleter,24,1,Defender,France,6 November 1965,1987
2935,Paul Trollope,24,1,Midfielder,Wales,3 June 1972,2790
2936,Scott Oakes,24,1,Midfielder,England,5 August 1972,1451
2937,Andrew Crofts,24,0,Centre Central Midfielder,Wales,29 May 1984,272996
2938,Bryan Gil,24,0,Left Winger,Spain,11 February 2001,361997
2939,David Kelly,24,0,Forward,Ireland,25 November 1965,1489
2940,Duncan Jupp,24,0,Defender,Scotland,25 January 1975,352986
2941,Erik Meijer,24,0,Forward,Netherlands,2 August 1969,2144
2942,Espen Baardsen,24,0,Goalkeeper,Norway,7 December 1977,2895
2943,Issa Kaboré,24,0,Right Full Back,Burkina Faso,12 May 2001,741727
2944,Jason Denayer,24,0,Centre Central Defender,Belgium,28 June 1995,136218
2945,Jorge Costa,24,0,Defender,Portugal,14 October 1971,2628
2946,Julio César,24,0,Goalkeeper,Brazil,3 September 1979,15791
2947,Lee Peltier,24,0,Right Full Back,England,11 December 1986,321317
2948,Marco Stiepermann,24,0,Centre Striker,Germany,9 February 1991,289635
2949,Mark Travers,24,0,Goalkeeper,Ireland,18 May 1999,738483
2950,Neil Moss,24,0,Goalkeeper,England,10 May 1975,1455
2951,Paul Heald,24,0,Goalkeeper,England,20 September 1968,1294
2952,Peter Shirtliff,24,0,Defender,England,6 April 1961,1778
2953,Ricardo Rocha,24,0,Defender,Portugal,3 October 1978,5434
2954,Ryan Manning,24,0,Defender,Ireland,14 June 1996,367406
2955,Stephen Bywater,24,0,Goalkeeper,England,7 June 1981,18854
2956,Stephen Pearson,24,0,Attacking Midfielder,Scotland,2 October 1982,10246
2957,James Rodríguez,23,6,Left/Centre/Right Attacking Midfielder,Colombia,12 July 1991,363358
2958,Lee Power,23,6,Forward,England,30 June 1972,376
2959,Guillermo Franco,23,5,Centre Striker,Mexico,3 November 1976,5501
2960,Michel Ngonge,23,5,Forward,DR Congo,10 January 1967,2248
2961,Cristhian Stuani,23,4,Centre Striker,Uruguay,12 October 1986,19648
2962,Georgi Hristov,23,4,Forward,North Macedonia,30 January 1976,1565
2963,Ibrahima Bakayoko,23,4,Forward,Cote D’Ivoire,31 December 1976,127570
2964,Martin Paterson,23,4,Centre Striker,Northern Ireland,10 May 1987,35179
2965,Gheorghe Popescu,23,3,Defender,Romania,9 October 1967,784881
2966,Joel Campbell,23,3,Forward,Costa Rica,26 June 1992,298499
2967,Jon Dahl Tomasson,23,3,Forward,Denmark,29 August 1976,173805
2968,Joonas Kolkka,23,3,Midfielder,Finland,28 September 1974,3554
2969,Richard Johnson,23,3,Midfielder,Australia,27 April 1974,353227
2970,Samuel Chukwueze,23,3,Left/Right Winger,Nigeria,22 May 1999,741697
2971,Allan Johnston,23,2,Midfielder,Scotland,14 December 1973,2734
2972,André Santos,23,2,Midfielder,Brazil,8 March 1983,117202
2973,David Edgar,23,2,Defender,Canada,19 May 1987,181478
2974,Jovan Kirovski,23,2,Midfielder,United States,18 March 1976,2835
2975,Kalidou Koulibaly,23,2,Centre Central Defender,Senegal,20 June 1991,354647
2976,Elliot Grandin,23,1,Left Winger,France,17 October 1987,180305
2977,Fernando Amorebieta,23,1,Centre Central Defender,Venezuela,29 March 1985,106310
2978,Gary Crosby,23,1,Midfielder,England,8 May 1964,394
2979,Jhon Arias,23,1,Attacking Midfielder,Colombia,21 September 1997,738994
2980,Jordan Clark,23,1,Right Winger,England,22 September 1993,187454
2981,Keith Jones,23,1,Midfielder,England,14 October 1965,2027
2982,Mahamadou Diarra,23,1,Centre Central Midfielder,Mali,18 May 1981,5978
2983,Marcus Edwards,23,1,Right Winger,England,3 December 1998,737210
2984,Mathias Normann,23,1,Centre Central Midfielder,Norway,28 May 1996,288592
2985,Michael Williams,23,1,Forward,England,21 November 1969,492
2986,Samba Diakité,23,1,Centre Central Midfielder,Mali,24 January 1989,12503
2987,Sébastien Squillaci,23,1,Centre Central Defender,France,11 August 1980,5587
2988,Tyrique George,23,1,Left Winger,England,4 February 2006,785888
2989,Carlos Salcido,23,0,Left/Centre Full Back,Mexico,2 April 1980,54960
2990,Didier Digard,23,0,Centre Central Midfielder,France,12 July 1986,116227
2991,Felipe,23,0,Centre Central Defender,Brazil,16 May 1989,360753
2992,Ilia Gruev,23,0,Centre Defensive Midfielder,Bulgaria,6 May 2000,346764
2993,Jorge Cuenca,23,0,Central Defender,Spain,17 November 1999,362397
2994,José Cañas,23,0,Midfielder,Spain,27 May 1987,163118
2995,Kaba Diawara,23,0,Forward,Guinea,16 December 1975,2522
2996,Kerim Frei,23,0,Left/Right Winger,Turkiye,19 November 1993,333217
2997,Lee Dong-Gook,23,0,Centre Striker,South Korea,29 April 1979,109776
2998,Lee Hughes,23,0,Forward,England,22 May 1976,20440
2999,Lee Philpott,23,0,Midfielder,England,21 February 1970,978
3000,Marek Cech,23,0,Left Full Back,Slovakia,26 January 1983,113671
3001,Pegguy Arphexad,23,0,Goalkeeper,France,18 May 1973,2420
3002,Shane Ferguson,23,0,Left Winger,Northern Ireland,12 July 1991,282267
3003,Silvio Maric,23,0,Midfielder,Croatia,20 March 1975,279027
3004,Souleymane Diawara,23,0,Centre Central Defender,Senegal,24 December 1978,120106
3005,Tony Popovic,23,0,Defender,Australia,4 July 1973,3533
3006,Yun Suk-Young,23,0,Left Full Back,South Korea,13 February 1990,18929
3007,Deniz Undav,22,5,Centre Striker,Germany,19 July 1996,362988
3008,Samassi Abou,22,5,Forward,France,4 April 1973,1768
3009,Federico Macheda,22,4,Forward,Italy,22 August 1991,357892
3010,Mickey Evans,22,4,Forward,Ireland,1 January 1973,353161
3011,Apostolos Vellios,22,3,Forward,Greece,8 January 1992,341303
3012,Herlyn Zuniga,22,3,Forward,Peru,27 August 1976,2104
3013,Jeremain Lens,22,3,Forward,Netherlands,24 November 1987,360451
3014,Sixto Peralta,22,3,Centre Attacking Midfielder,Argentina,16 April 1979,98791
3015,Stuart Wilson,22,3,Midfielder,Scotland,16 September 1977,1407
3016,Stéphane Dalmat,22,3,Midfielder,France,16 February 1979,3371
3017,Adama Diomande,22,2,Forward,Norway,14 February 1990,337712
3018,Estêvão,22,2,Right Winger,Brazil,24 April 2007,738833
3019,Rubén Rochina,22,2,Left/Centre/Right Attacking Midfielder,Spain,23 March 1991,105856
3020,Stefan Moore,22,2,Forward,England,28 September 1983,40672
3021,Anthony Stokes,22,1,Centre Striker,Ireland,25 July 1988,172568
3022,Conor Chaplin,22,1,Forward,England,16 February 1997,786021
3023,Darren Patterson,22,1,Defender,Northern Ireland,15 October 1969,1080
3024,David Connolly,22,1,Centre Striker,Ireland,6 June 1977,14192
3025,Isaac Mbenza,22,1,Forward,Belgium,8 March 1996,306615
3026,Josh Acheampong,22,1,Right Full Back,England,5 May 2006,358241
3027,Kalifa Cissé,22,1,Centre Central Defender,Mali,9 January 1984,136199
3028,Mark Williams,22,1,Defender,Northern Ireland,28 September 1970,2285
3029,Michael Reiziger,22,1,Defender,Netherlands,3 May 1973,3628
3030,Sam Field,22,1,Midfielder,England,8 May 1998,785390
3031,Sam Gallagher,22,1,Forward,England,15 September 1995,362147
3032,Siem de Jong,22,1,Centre Attacking Midfielder,Netherlands,28 January 1989,6829
3033,Soungoutou Magassa,22,1,Centre Defensive Midfielder,France,8 October 2003,740959
3034,Sékou Mara,22,1,Centre Striker,France,30 July 2002,386579
3035,Zavon Hines,22,1,Forward,England,27 December 1988,141167
3036,Alejandro Pozuelo,22,0,Left/Centre/Right Attacking Midfielder,Spain,20 September 1991,315764
3037,Charlie Hartfield,22,0,Midfielder,England,14 September 1971,467
3038,Craig Armstrong,22,0,Defender,England,23 May 1975,27498
